,Name,Elo,GXE,Glicko-1,usernames,ladder_url,Unnamed: 5
0,MichaelderBeste2,2366,90.5%,1925 ± 25,michaelderbeste2,https://pokemonshowdown.com/ladder/gen9randombattle,
1,this dude,2341,86.6%,1852 ± 28,thisdude,https://pokemonshowdown.com/ladder/gen9randombattle,
2,yes or no my dude,2325,87.0%,1859 ± 25,yesornomydude,https://pokemonshowdown.com/ladder/gen9randombattle,
3,marrickchill,2323,83.1%,1800 ± 27,marrickchill,https://pokemonshowdown.com/ladder/gen9randombattle,
4,Lady Writer ❄,2321,85.3%,1831 ± 26,ladywriter,https://pokemonshowdown.com/ladder/gen9randombattle,
5,1✿Surgeon,2320,84.8%,1824 ± 25,1surgeon,https://pokemonshowdown.com/ladder/gen9randombattle,
6,Shadows4,2318,85.2%,1829 ± 25,shadows4,https://pokemonshowdown.com/ladder/gen9randombattle,
7,ionnss,2305,81.4%,1779 ± 26,ionnss,https://pokemonshowdown.com/ladder/gen9randombattle,
8,70to90gxe,2299,87.7%,1870 ± 30,70to90gxe,https://pokemonshowdown.com/ladder/gen9randombattle,
9,Faze_DingerBoy,2294,82.0%,1786 ± 26,fazedingerboy,https://pokemonshowdown.com/ladder/gen9randombattle,
10,sfbsvsfd,2291,81.1%,1774 ± 25,sfbsvsfd,https://pokemonshowdown.com/ladder/gen9randombattle,
11,hong hoornstaart,2281,87.0%,1858 ± 25,honghoornstaart,https://pokemonshowdown.com/ladder/gen9randombattle,
12,Khalnaayak,2280,84.5%,1819 ± 26,khalnaayak,https://pokemonshowdown.com/ladder/gen9randombattle,
13,pokeblade☆101,2279,88.5%,1885 ± 25,pokeblade101,https://pokemonshowdown.com/ladder/gen9randombattle,
14,Ggs1234,2278,81.4%,1778 ± 25,ggs1234,https://pokemonshowdown.com/ladder/gen9randombattle,
15,PokemonCestDur,2274,83.9%,1812 ± 26,pokemoncestdur,https://pokemonshowdown.com/ladder/gen9randombattle,
16,Viderature,2273,82.7%,1795 ± 25,viderature,https://pokemonshowdown.com/ladder/gen9randombattle,
17,chemcoop,2273,84.7%,1823 ± 26,chemcoop,https://pokemonshowdown.com/ladder/gen9randombattle,
18,minhthuanpk,2267,86.5%,1851 ± 25,minhthuanpk,https://pokemonshowdown.com/ladder/gen9randombattle,
19,Michielleus,2266,88.5%,1885 ± 29,michielleus,https://pokemonshowdown.com/ladder/gen9randombattle,
20,Will&Wish,2265,84.2%,1816 ± 25,willwish,https://pokemonshowdown.com/ladder/gen9randombattle,
21,oualting1,2264,87.1%,1860 ± 25,oualting1,https://pokemonshowdown.com/ladder/gen9randombattle,
22,Chovyism,2260,82.6%,1793 ± 25,chovyism,https://pokemonshowdown.com/ladder/gen9randombattle,
23,Hayburner,2256,87.1%,1860 ± 27,hayburner,https://pokemonshowdown.com/ladder/gen9randombattle,
24,scyther225,2256,80.3%,1765 ± 26,scyther225,https://pokemonshowdown.com/ladder/gen9randombattle,
25,Mika64,2249,82.6%,1793 ± 27,mika64,https://pokemonshowdown.com/ladder/gen9randombattle,
26,Nickez,2248,82.0%,1785 ± 25,nickez,https://pokemonshowdown.com/ladder/gen9randombattle,
27,Beantown sprout,2243,77.6%,1734 ± 25,beantownsprout,https://pokemonshowdown.com/ladder/gen9randombattle,
28,kino,2238,83.7%,1809 ± 27,kino,https://pokemonshowdown.com/ladder/gen9randombattle,
29,soTsoT,2238,85.3%,1831 ± 25,sotsot,https://pokemonshowdown.com/ladder/gen9randombattle,
30,Ydrib,2237,82.4%,1791 ± 25,ydrib,https://pokemonshowdown.com/ladder/gen9randombattle,
31,JJ09LIE,2235,87.0%,1858 ± 25,jj09lie,https://pokemonshowdown.com/ladder/gen9randombattle,
32,Vitoking,2233,83.1%,1800 ± 28,vitoking,https://pokemonshowdown.com/ladder/gen9randombattle,
33,firehills,2230,85.6%,1835 ± 25,firehills,https://pokemonshowdown.com/ladder/gen9randombattle,
34,L'Saint,2228,80.2%,1764 ± 25,lsaint,https://pokemonshowdown.com/ladder/gen9randombattle,
35,JakeFSmash,2227,78.4%,1743 ± 25,jakefsmash,https://pokemonshowdown.com/ladder/gen9randombattle,
36,biggest baz,2223,85.0%,1826 ± 25,biggestbaz,https://pokemonshowdown.com/ladder/gen9randombattle,
37,AsterJ,2222,79.3%,1753 ± 27,asterj,https://pokemonshowdown.com/ladder/gen9randombattle,
38,berryalolawater123,2220,80.1%,1762 ± 27,berryalolawater123,https://pokemonshowdown.com/ladder/gen9randombattle,
39,EviGaro,2220,82.8%,1796 ± 27,evigaro,https://pokemonshowdown.com/ladder/gen9randombattle,
40,wintersim,2218,86.3%,1847 ± 25,wintersim,https://pokemonshowdown.com/ladder/gen9randombattle,
41,Ticy7,2216,81.0%,1774 ± 25,ticy7,https://pokemonshowdown.com/ladder/gen9randombattle,
42,liet32120,2214,81.2%,1776 ± 25,liet32120,https://pokemonshowdown.com/ladder/gen9randombattle,
43,Galak0,2213,79.1%,1750 ± 25,galak0,https://pokemonshowdown.com/ladder/gen9randombattle,
44,Vitoran,2213,82.6%,1794 ± 25,vitoran,https://pokemonshowdown.com/ladder/gen9randombattle,
45,BBQ Beer Freedom,2211,81.5%,1779 ± 25,bbqbeerfreedom,https://pokemonshowdown.com/ladder/gen9randombattle,
46,SlowmoSlowbro,2211,79.1%,1750 ± 28,slowmoslowbro,https://pokemonshowdown.com/ladder/gen9randombattle,
47,pokemonisfun,2208,83.7%,1809 ± 26,pokemonisfun,https://pokemonshowdown.com/ladder/gen9randombattle,
48,Exiline,2205,80.4%,1766 ± 26,exiline,https://pokemonshowdown.com/ladder/gen9randombattle,
49,nocustomstoday,2203,79.6%,1757 ± 28,nocustomstoday,https://pokemonshowdown.com/ladder/gen9randombattle,
50,Haxxium,2200,82.9%,1797 ± 25,haxxium,https://pokemonshowdown.com/ladder/gen9randombattle,
51,fidioardena,2200,79.3%,1754 ± 26,fidioardena,https://pokemonshowdown.com/ladder/gen9randombattle,
52,Halenton,2199,78.1%,1739 ± 26,halenton,https://pokemonshowdown.com/ladder/gen9randombattle,
53,ShadowQ8,2199,82.6%,1794 ± 25,shadowq8,https://pokemonshowdown.com/ladder/gen9randombattle,
54,ElJRod,2198,81.0%,1773 ± 26,eljrod,https://pokemonshowdown.com/ladder/gen9randombattle,
55,xceloh,2198,85.7%,1837 ± 33,xceloh,https://pokemonshowdown.com/ladder/gen9randombattle,
56,plant synchro,2197,79.3%,1753 ± 25,plantsynchro,https://pokemonshowdown.com/ladder/gen9randombattle,
57,Cosplay Furret,2195,79.6%,1756 ± 27,cosplayfurret,https://pokemonshowdown.com/ladder/gen9randombattle,
58,longhiep341,2194,87.2%,1861 ± 26,longhiep341,https://pokemonshowdown.com/ladder/gen9randombattle,
59,Pipinitox1,2193,77.3%,1730 ± 25,pipinitox1,https://pokemonshowdown.com/ladder/gen9randombattle,
60,lzaaaaa,2191,85.5%,1835 ± 26,lzaaaaa,https://pokemonshowdown.com/ladder/gen9randombattle,
61,TheMaster0239,2191,82.2%,1788 ± 26,themaster0239,https://pokemonshowdown.com/ladder/gen9randombattle,
62,amphareixon,2190,80.0%,1761 ± 25,amphareixon,https://pokemonshowdown.com/ladder/gen9randombattle,
63,Eldin,2190,82.5%,1793 ± 30,eldin,https://pokemonshowdown.com/ladder/gen9randombattle,
64,Triceradattilo,2188,82.6%,1793 ± 25,triceradattilo,https://pokemonshowdown.com/ladder/gen9randombattle,
65,Sancnea,2188,83.9%,1811 ± 28,sancnea,https://pokemonshowdown.com/ladder/gen9randombattle,
66,duck,2188,81.1%,1775 ± 25,duck,https://pokemonshowdown.com/ladder/gen9randombattle,
67,Lambo Murcie,2187,82.3%,1790 ± 25,lambomurcie,https://pokemonshowdown.com/ladder/gen9randombattle,
68,Jojosxd,2186,81.3%,1776 ± 25,jojosxd,https://pokemonshowdown.com/ladder/gen9randombattle,
69,snorlax142857,2185,84.0%,1812 ± 25,snorlax142857,https://pokemonshowdown.com/ladder/gen9randombattle,
70,EternalSnowman,2183,87.1%,1859 ± 29,eternalsnowman,https://pokemonshowdown.com/ladder/gen9randombattle,
71,andrew1103,2183,77.4%,1732 ± 25,andrew1103,https://pokemonshowdown.com/ladder/gen9randombattle,
72,It's cuffin season,2182,83.6%,1807 ± 26,itscuffinseason,https://pokemonshowdown.com/ladder/gen9randombattle,
73,Jelly cookie,2178,84.0%,1813 ± 28,jellycookie,https://pokemonshowdown.com/ladder/gen9randombattle,
74,makemegowalnuts,2178,80.1%,1763 ± 25,makemegowalnuts,https://pokemonshowdown.com/ladder/gen9randombattle,
75,Misha,2177,76.4%,1721 ± 25,misha,https://pokemonshowdown.com/ladder/gen9randombattle,
76,Revan94,2176,80.0%,1761 ± 26,revan94,https://pokemonshowdown.com/ladder/gen9randombattle,
77,u have giant bum,2175,80.2%,1764 ± 28,uhavegiantbum,https://pokemonshowdown.com/ladder/gen9randombattle,
78,Zagabackatitagain,2175,79.6%,1756 ± 25,zagabackatitagain,https://pokemonshowdown.com/ladder/gen9randombattle,
79,inversify,2172,81.3%,1776 ± 25,inversify,https://pokemonshowdown.com/ladder/gen9randombattle,
80,emo birb,2171,80.6%,1768 ± 25,emobirb,https://pokemonshowdown.com/ladder/gen9randombattle,
81,a rabbit,2171,82.3%,1790 ± 28,arabbit,https://pokemonshowdown.com/ladder/gen9randombattle,
82,legendary40,2170,85.0%,1828 ± 29,legendary40,https://pokemonshowdown.com/ladder/gen9randombattle,
83,trace,2170,83.1%,1800 ± 26,trace,https://pokemonshowdown.com/ladder/gen9randombattle,
84,MCdorito,2170,78.2%,1740 ± 25,mcdorito,https://pokemonshowdown.com/ladder/gen9randombattle,
85,Zap,2169,84.4%,1819 ± 30,zap,https://pokemonshowdown.com/ladder/gen9randombattle,
86,Jaikido,2169,81.2%,1776 ± 26,jaikido,https://pokemonshowdown.com/ladder/gen9randombattle,
87,swagfu,2168,80.0%,1762 ± 26,swagfu,https://pokemonshowdown.com/ladder/gen9randombattle,
88,YveltalNL,2168,82.5%,1792 ± 25,yveltalnl,https://pokemonshowdown.com/ladder/gen9randombattle,
89,Teroxide,2166,83.6%,1806 ± 26,teroxide,https://pokemonshowdown.com/ladder/gen9randombattle,
90,updaladderhehe,2166,81.1%,1775 ± 28,updaladderhehe,https://pokemonshowdown.com/ladder/gen9randombattle,
91,Star Wheel,2165,83.3%,1803 ± 26,starwheel,https://pokemonshowdown.com/ladder/gen9randombattle,
92,TrumpsGoinToJail,2165,79.1%,1751 ± 25,trumpsgointojail,https://pokemonshowdown.com/ladder/gen9randombattle,
93,5star,2164,82.0%,1785 ± 26,5star,https://pokemonshowdown.com/ladder/gen9randombattle,
94,Separation,2162,84.7%,1822 ± 27,separation,https://pokemonshowdown.com/ladder/gen9randombattle,
95,Sendhelpbruh,2162,77.4%,1732 ± 26,sendhelpbruh,https://pokemonshowdown.com/ladder/gen9randombattle,
96,Get fuber knucked,2162,79.9%,1760 ± 25,getfuberknucked,https://pokemonshowdown.com/ladder/gen9randombattle,
97,DTeeko,2162,80.5%,1767 ± 25,dteeko,https://pokemonshowdown.com/ladder/gen9randombattle,
98,Swordsman.N,2161,81.9%,1784 ± 26,swordsmann,https://pokemonshowdown.com/ladder/gen9randombattle,
99,Knightmare1k,2161,79.8%,1759 ± 25,knightmare1k,https://pokemonshowdown.com/ladder/gen9randombattle,
100,elimoe420,2159,75.8%,1715 ± 26,elimoe420,https://pokemonshowdown.com/ladder/gen9randombattle,
101,jean98yf,2158,82.3%,1790 ± 25,jean98yf,https://pokemonshowdown.com/ladder/gen9randombattle,
102,Mono_Kommo-o,2158,83.7%,1809 ± 28,monokommoo,https://pokemonshowdown.com/ladder/gen9randombattle,
103,underbreaker,2155,76.0%,1717 ± 25,underbreaker,https://pokemonshowdown.com/ladder/gen9randombattle,
104,the florida men,2155,83.8%,1810 ± 25,thefloridamen,https://pokemonshowdown.com/ladder/gen9randombattle,
105,BoredApeYachtClub,2154,81.8%,1783 ± 26,boredapeyachtclub,https://pokemonshowdown.com/ladder/gen9randombattle,
106,HereComesHeracross,2152,74.8%,1705 ± 25,herecomesheracross,https://pokemonshowdown.com/ladder/gen9randombattle,
107,billyh,2151,84.4%,1819 ± 28,billyh,https://pokemonshowdown.com/ladder/gen9randombattle,
108,Lindaluna,2151,81.8%,1784 ± 30,lindaluna,https://pokemonshowdown.com/ladder/gen9randombattle,
109,Lil t spaces,2150,78.7%,1747 ± 25,liltspaces,https://pokemonshowdown.com/ladder/gen9randombattle,
110,DarkGoldShadow,2150,82.0%,1786 ± 26,darkgoldshadow,https://pokemonshowdown.com/ladder/gen9randombattle,
111,one game session,2148,80.4%,1766 ± 25,onegamesession,https://pokemonshowdown.com/ladder/gen9randombattle,
112,GrtingsTrvelr,2148,84.3%,1817 ± 29,grtingstrvelr,https://pokemonshowdown.com/ladder/gen9randombattle,
113,WhatColorIsThis?,2147,82.1%,1787 ± 25,whatcoloristhis,https://pokemonshowdown.com/ladder/gen9randombattle,
114,HaxorusIdk,2146,83.1%,1801 ± 32,haxorusidk,https://pokemonshowdown.com/ladder/gen9randombattle,
115,Delta 2777,2146,84.0%,1813 ± 26,delta2777,https://pokemonshowdown.com/ladder/gen9randombattle,
116,ez ws,2145,85.3%,1832 ± 36,ezws,https://pokemonshowdown.com/ladder/gen9randombattle,
117,Stamatis,2145,82.8%,1796 ± 29,stamatis,https://pokemonshowdown.com/ladder/gen9randombattle,
118,Krotash,2144,76.2%,1719 ± 26,krotash,https://pokemonshowdown.com/ladder/gen9randombattle,
119,5green,2144,77.7%,1736 ± 26,5green,https://pokemonshowdown.com/ladder/gen9randombattle,
120,Soucou,2143,83.2%,1802 ± 32,soucou,https://pokemonshowdown.com/ladder/gen9randombattle,
121,shut ur mouth lol,2142,79.4%,1754 ± 25,shuturmouthlol,https://pokemonshowdown.com/ladder/gen9randombattle,
122,sebasdb,2142,83.3%,1803 ± 25,sebasdb,https://pokemonshowdown.com/ladder/gen9randombattle,
123,tyedye23,2141,79.4%,1754 ± 25,tyedye23,https://pokemonshowdown.com/ladder/gen9randombattle,
124,RuftCrush,2141,77.3%,1731 ± 25,ruftcrush,https://pokemonshowdown.com/ladder/gen9randombattle,
125,lord cube,2141,83.9%,1811 ± 32,lordcube,https://pokemonshowdown.com/ladder/gen9randombattle,
126,Fantos13,2140,81.9%,1784 ± 27,fantos13,https://pokemonshowdown.com/ladder/gen9randombattle,
127,Kumar1220,2139,81.4%,1779 ± 25,kumar1220,https://pokemonshowdown.com/ladder/gen9randombattle,
128,Xeizar,2139,83.7%,1809 ± 33,xeizar,https://pokemonshowdown.com/ladder/gen9randombattle,
129,NickPlayeZ,2139,78.6%,1746 ± 25,nickplayez,https://pokemonshowdown.com/ladder/gen9randombattle,
130,Royher,2139,79.4%,1754 ± 25,royher,https://pokemonshowdown.com/ladder/gen9randombattle,
131,FaZe Alec Baldwin,2139,81.4%,1779 ± 34,fazealecbaldwin,https://pokemonshowdown.com/ladder/gen9randombattle,
132,RushedRedemption,2138,80.0%,1761 ± 25,rushedredemption,https://pokemonshowdown.com/ladder/gen9randombattle,
133,uBezin,2138,79.6%,1756 ± 29,ubezin,https://pokemonshowdown.com/ladder/gen9randombattle,
134,chodeaim,2138,79.8%,1759 ± 26,chodeaim,https://pokemonshowdown.com/ladder/gen9randombattle,
135,pwng1999,2137,78.5%,1744 ± 26,pwng1999,https://pokemonshowdown.com/ladder/gen9randombattle,
136,king edgy,2137,77.8%,1736 ± 25,kingedgy,https://pokemonshowdown.com/ladder/gen9randombattle,
137,Powtow,2136,80.8%,1772 ± 31,powtow,https://pokemonshowdown.com/ladder/gen9randombattle,
138,oryxslayer,2136,81.5%,1780 ± 27,oryxslayer,https://pokemonshowdown.com/ladder/gen9randombattle,
139,Big ol tim,2136,77.5%,1733 ± 25,bigoltim,https://pokemonshowdown.com/ladder/gen9randombattle,
140,suibiandiandian,2136,77.4%,1732 ± 25,suibiandiandian,https://pokemonshowdown.com/ladder/gen9randombattle,
141,xox11108,2135,80.9%,1771 ± 25,xox11108,https://pokemonshowdown.com/ladder/gen9randombattle,
142,Elxsa,2134,86.4%,1850 ± 40,elxsa,https://pokemonshowdown.com/ladder/gen9randombattle,
143,Renjaru,2132,84.2%,1816 ± 33,renjaru,https://pokemonshowdown.com/ladder/gen9randombattle,
144,hschae735,2132,77.5%,1734 ± 26,hschae735,https://pokemonshowdown.com/ladder/gen9randombattle,
145,Touya_02,2132,79.8%,1759 ± 29,touya02,https://pokemonshowdown.com/ladder/gen9randombattle,
146,Kingsinofsloth,2132,80.9%,1773 ± 25,kingsinofsloth,https://pokemonshowdown.com/ladder/gen9randombattle,
147,Zorrobo,2132,81.1%,1775 ± 27,zorrobo,https://pokemonshowdown.com/ladder/gen9randombattle,
148,Top10mainthang,2131,77.1%,1729 ± 25,top10mainthang,https://pokemonshowdown.com/ladder/gen9randombattle,
149,RustySheriffBadge,2131,80.2%,1763 ± 26,rustysheriffbadge,https://pokemonshowdown.com/ladder/gen9randombattle,
150,m4gicmushr00m,2130,77.6%,1734 ± 26,m4gicmushr00m,https://pokemonshowdown.com/ladder/gen9randombattle,
151,Chaos23333,2130,80.4%,1766 ± 27,chaos23333,https://pokemonshowdown.com/ladder/gen9randombattle,
152,luck is king,2129,78.5%,1744 ± 25,luckisking,https://pokemonshowdown.com/ladder/gen9randombattle,
153,Star Thunderbolt,2129,80.5%,1767 ± 25,starthunderbolt,https://pokemonshowdown.com/ladder/gen9randombattle,
154,Ciro Napoli,2129,79.0%,1750 ± 25,cironapoli,https://pokemonshowdown.com/ladder/gen9randombattle,
155,Marakiss,2127,84.1%,1814 ± 26,marakiss,https://pokemonshowdown.com/ladder/gen9randombattle,
156,anotherkonzernalt,2127,79.9%,1760 ± 26,anotherkonzernalt,https://pokemonshowdown.com/ladder/gen9randombattle,
157,Kate,2126,85.6%,1837 ± 25,kate,https://pokemonshowdown.com/ladder/gen9randombattle,
158,buddha energy,2126,83.2%,1802 ± 31,buddhaenergy,https://pokemonshowdown.com/ladder/gen9randombattle,
159,The Cheesen One,2126,85.2%,1830 ± 35,thecheesenone,https://pokemonshowdown.com/ladder/gen9randombattle,
160,Kakashi4,2125,76.5%,1723 ± 25,kakashi4,https://pokemonshowdown.com/ladder/gen9randombattle,
161,KokonutPi,2124,77.1%,1729 ± 25,kokonutpi,https://pokemonshowdown.com/ladder/gen9randombattle,
162,Turtles88,2124,79.7%,1758 ± 25,turtles88,https://pokemonshowdown.com/ladder/gen9randombattle,
163,xhsirt,2123,81.0%,1773 ± 27,xhsirt,https://pokemonshowdown.com/ladder/gen9randombattle,
164,zerodeath01,2122,79.6%,1757 ± 27,zerodeath01,https://pokemonshowdown.com/ladder/gen9randombattle,
165,James Zarden,2122,82.3%,1790 ± 25,jameszarden,https://pokemonshowdown.com/ladder/gen9randombattle,
166,fosdfo,2120,79.4%,1754 ± 25,fosdfo,https://pokemonshowdown.com/ladder/gen9randombattle,
167,samuelayers,2118,79.1%,1751 ± 26,samuelayers,https://pokemonshowdown.com/ladder/gen9randombattle,
168,xKumiho,2117,83.5%,1806 ± 34,xkumiho,https://pokemonshowdown.com/ladder/gen9randombattle,
169,WEDemon,2117,78.0%,1739 ± 27,wedemon,https://pokemonshowdown.com/ladder/gen9randombattle,
170,Zedoge,2117,77.3%,1731 ± 26,zedoge,https://pokemonshowdown.com/ladder/gen9randombattle,
171,Bella_Ctc,2117,81.5%,1780 ± 31,bellactc,https://pokemonshowdown.com/ladder/gen9randombattle,
172,Qiuescent,2117,77.7%,1735 ± 25,qiuescent,https://pokemonshowdown.com/ladder/gen9randombattle,
173,864alc,2117,76.7%,1725 ± 26,864alc,https://pokemonshowdown.com/ladder/gen9randombattle,
174,Trouble In Waco,2116,76.3%,1720 ± 27,troubleinwaco,https://pokemonshowdown.com/ladder/gen9randombattle,
175,Mika65,2116,82.6%,1794 ± 33,mika65,https://pokemonshowdown.com/ladder/gen9randombattle,
176,fashionstar510,2116,78.9%,1748 ± 25,fashionstar510,https://pokemonshowdown.com/ladder/gen9randombattle,
177,CMaC13,2115,74.9%,1706 ± 26,cmac13,https://pokemonshowdown.com/ladder/gen9randombattle,
178,throckthrockmort,2115,82.1%,1788 ± 33,throckthrockmort,https://pokemonshowdown.com/ladder/gen9randombattle,
179,GenghisHakan,2115,77.0%,1728 ± 25,genghishakan,https://pokemonshowdown.com/ladder/gen9randombattle,
180,D1STRAIDO,2115,76.8%,1726 ± 26,d1straido,https://pokemonshowdown.com/ladder/gen9randombattle,
181,Wasabababe,2115,77.3%,1730 ± 25,wasabababe,https://pokemonshowdown.com/ladder/gen9randombattle,
182,retnas11,2114,75.8%,1715 ± 25,retnas11,https://pokemonshowdown.com/ladder/gen9randombattle,
183,PA,2112,82.3%,1789 ± 28,pa,https://pokemonshowdown.com/ladder/gen9randombattle,
184,secoca17,2112,78.4%,1743 ± 25,secoca17,https://pokemonshowdown.com/ladder/gen9randombattle,
185,Flash Rocket,2112,80.5%,1767 ± 25,flashrocket,https://pokemonshowdown.com/ladder/gen9randombattle,
186,Remiliandre,2112,78.8%,1748 ± 26,remiliandre,https://pokemonshowdown.com/ladder/gen9randombattle,
187,DarkEvu,2112,79.6%,1756 ± 25,darkevu,https://pokemonshowdown.com/ladder/gen9randombattle,
188,itami o!,2111,81.1%,1775 ± 28,itamio,https://pokemonshowdown.com/ladder/gen9randombattle,
189,cityfolk,2111,79.5%,1756 ± 26,cityfolk,https://pokemonshowdown.com/ladder/gen9randombattle,
190,Glert8,2110,78.1%,1740 ± 33,glert8,https://pokemonshowdown.com/ladder/gen9randombattle,
191,shaneghoul,2110,84.0%,1813 ± 33,shaneghoul,https://pokemonshowdown.com/ladder/gen9randombattle,
192,8btry8,2109,78.4%,1743 ± 31,8btry8,https://pokemonshowdown.com/ladder/gen9randombattle,
193,Ducky1231,2109,79.2%,1752 ± 25,ducky1231,https://pokemonshowdown.com/ladder/gen9randombattle,
194,moomoo2370,2108,77.6%,1734 ± 28,moomoo2370,https://pokemonshowdown.com/ladder/gen9randombattle,
195,zibuyu,2108,77.1%,1729 ± 26,zibuyu,https://pokemonshowdown.com/ladder/gen9randombattle,
196,Ribombeee,2108,81.7%,1781 ± 26,ribombeee,https://pokemonshowdown.com/ladder/gen9randombattle,
197,Dogebonk,2107,80.0%,1761 ± 25,dogebonk,https://pokemonshowdown.com/ladder/gen9randombattle,
198,laggin,2107,81.8%,1783 ± 29,laggin,https://pokemonshowdown.com/ladder/gen9randombattle,
199,Coldcat,2106,76.5%,1722 ± 25,coldcat,https://pokemonshowdown.com/ladder/gen9randombattle,
200,PKV Pokevin,2106,79.7%,1758 ± 28,pkvpokevin,https://pokemonshowdown.com/ladder/gen9randombattle,
201,LrDaytona121,2105,79.0%,1750 ± 25,lrdaytona121,https://pokemonshowdown.com/ladder/gen9randombattle,
202,PanFriedPidgey,2105,79.7%,1758 ± 26,panfriedpidgey,https://pokemonshowdown.com/ladder/gen9randombattle,
203,jetshavel,2105,82.5%,1793 ± 32,jetshavel,https://pokemonshowdown.com/ladder/gen9randombattle,
204,at --> EldinJSR,2104,85.4%,1833 ± 34,ateldinjsr,https://pokemonshowdown.com/ladder/gen9randombattle,
205,Nursey 29,2104,79.0%,1749 ± 26,nursey29,https://pokemonshowdown.com/ladder/gen9randombattle,
206,Mxd0,2103,77.5%,1733 ± 25,mxd0,https://pokemonshowdown.com/ladder/gen9randombattle,
207,Astinov,2103,81.5%,1779 ± 25,astinov,https://pokemonshowdown.com/ladder/gen9randombattle,
208,czim,2103,79.5%,1755 ± 26,czim,https://pokemonshowdown.com/ladder/gen9randombattle,
209,metalhydra273,2102,80.8%,1770 ± 25,metalhydra273,https://pokemonshowdown.com/ladder/gen9randombattle,
210,Onderbroek,2102,76.0%,1718 ± 25,onderbroek,https://pokemonshowdown.com/ladder/gen9randombattle,
211,Gustavo_1904,2102,78.9%,1748 ± 25,gustavo1904,https://pokemonshowdown.com/ladder/gen9randombattle,
212,16NAC10,2102,77.7%,1735 ± 28,16nac10,https://pokemonshowdown.com/ladder/gen9randombattle,
213,Acapellah,2101,76.8%,1725 ± 25,acapellah,https://pokemonshowdown.com/ladder/gen9randombattle,
214,griffsnarl,2101,81.0%,1773 ± 28,griffsnarl,https://pokemonshowdown.com/ladder/gen9randombattle,
215,tapu CACAW!!!,2101,87.6%,1870 ± 43,tapucacaw,https://pokemonshowdown.com/ladder/gen9randombattle,
216,ThunderclapnFlash,2101,81.0%,1773 ± 25,thunderclapnflash,https://pokemonshowdown.com/ladder/gen9randombattle,
217,Jirachilyfe,2101,77.9%,1737 ± 25,jirachilyfe,https://pokemonshowdown.com/ladder/gen9randombattle,
218,lekkerinten,2101,75.3%,1710 ± 25,lekkerinten,https://pokemonshowdown.com/ladder/gen9randombattle,
219,serhtv,2100,78.3%,1742 ± 25,serhtv,https://pokemonshowdown.com/ladder/gen9randombattle,
220,now you lose,2100,79.2%,1752 ± 25,nowyoulose,https://pokemonshowdown.com/ladder/gen9randombattle,
221,apotheosis7,2100,76.3%,1720 ± 26,apotheosis7,https://pokemonshowdown.com/ladder/gen9randombattle,
222,47 goonz,2100,77.2%,1730 ± 26,47goonz,https://pokemonshowdown.com/ladder/gen9randombattle,
223,Sekkari,2099,77.6%,1734 ± 25,sekkari,https://pokemonshowdown.com/ladder/gen9randombattle,
224,sowla,2099,79.3%,1754 ± 26,sowla,https://pokemonshowdown.com/ladder/gen9randombattle,
225,Rabzzz,2099,80.2%,1764 ± 26,rabzzz,https://pokemonshowdown.com/ladder/gen9randombattle,
226,Sammiiu,2098,78.7%,1747 ± 30,sammiiu,https://pokemonshowdown.com/ladder/gen9randombattle,
227,S0ulM0ti0n,2098,77.7%,1735 ± 25,s0ulm0ti0n,https://pokemonshowdown.com/ladder/gen9randombattle,
228,dc inversion,2097,82.1%,1787 ± 25,dcinversion,https://pokemonshowdown.com/ladder/gen9randombattle,
229,starmaster,2097,85.2%,1831 ± 33,starmaster,https://pokemonshowdown.com/ladder/gen9randombattle,
230,7Lucky&Bad7,2097,76.7%,1724 ± 25,7luckybad7,https://pokemonshowdown.com/ladder/gen9randombattle,
231,OnArceus,2097,78.8%,1748 ± 26,onarceus,https://pokemonshowdown.com/ladder/gen9randombattle,
232,RedDudeN64,2097,78.7%,1746 ± 25,redduden64,https://pokemonshowdown.com/ladder/gen9randombattle,
233,Nanome,2096,79.7%,1758 ± 28,nanome,https://pokemonshowdown.com/ladder/gen9randombattle,
234,Khyria,2096,80.9%,1773 ± 32,khyria,https://pokemonshowdown.com/ladder/gen9randombattle,
235,Prosaic,2096,83.8%,1810 ± 26,prosaic,https://pokemonshowdown.com/ladder/gen9randombattle,
236,XPSH,2096,80.9%,1771 ± 26,xpsh,https://pokemonshowdown.com/ladder/gen9randombattle,
237,dcenoris,2094,78.2%,1741 ± 25,dcenoris,https://pokemonshowdown.com/ladder/gen9randombattle,
238,Micaiah,2094,83.2%,1802 ± 27,micaiah,https://pokemonshowdown.com/ladder/gen9randombattle,
239,RamRanching,2094,78.3%,1742 ± 29,ramranching,https://pokemonshowdown.com/ladder/gen9randombattle,
240,Awing3382,2092,79.6%,1756 ± 29,awing3382,https://pokemonshowdown.com/ladder/gen9randombattle,
241,Bot Cop,2091,79.0%,1750 ± 27,botcop,https://pokemonshowdown.com/ladder/gen9randombattle,
242,Morgan&Sableye,2090,78.4%,1742 ± 25,morgansableye,https://pokemonshowdown.com/ladder/gen9randombattle,
243,duuhhao,2090,78.5%,1744 ± 25,duuhhao,https://pokemonshowdown.com/ladder/gen9randombattle,
244,KIRBY OF DA STARS,2089,78.8%,1747 ± 29,kirbyofdastars,https://pokemonshowdown.com/ladder/gen9randombattle,
